,0,1,2,3,4,5,6
27,焼肉 きたん,https://tabelog.com/osaka/A2701/A270201/27111285/,4.1,"￥6,000～￥7,999",－,◇コスパ◎　南船場　きたん◇,お客様との大事な会食で飲食の販促媒体の知り合いにおすすめして頂きこちらの<br>焼肉　きたん　さんに初訪問<br>６月３日のオープンということで期待とオペレーションなどの不安の中、電話で予約をし19時ごろ到着、場所は南船場のセンバキッチンさんの向かい側で地下１階<br>入り口のお肉のショーウィンドウには大きな牛タンがぶら下がっています。<br>個室に案内して頂きました。<br>綺麗な白に近い木を基調にした席は高級感もさることながら地下とは思えぬ温かみのある雰囲気で会食にはぴったり！デートならワンランク上なデートができそう！<br><br>大根キムチ<br>チョレギサラダ<br>特選タンのお刺身<br>上塩タン<br>特選ミスジ２００g<br>特選ロース<br>上ハラミ<br>冷麺を注文<br>お肉が映える美しい和食器にお皿に負けないくらい綺麗で上質なお肉ばかりです。<br>どれも本当にとても美味しいです！<br>新鮮なお肉メニューだけでなく熟成されたお肉も豊富で悩みますがどれもハズレなし！<br>ただ美味しい焼肉屋さんはたくさんありますが何と言ってもコスパが良い！<br>これで一人６０００円ほど！久しぶりにヒットしたお店でお客様も大満足！！<br>確実にリピしたくなるお店です！<br>特選ステーキのメニューはシェフが目の前で焼いて切り分けてくれます。<br>冷麺はスープがシャーベット状になっていて冷たいまま召し上がれて最初にお酢が出てこないなと思いましたがお酢が要らない絶妙な酸味で最高です！<br>オペレーションが少し遅かったのは残念でしたがそれをふまえても高得点だと感じました！<br>これから必ず予約困難店になると思います！<br>お肉の他にも話題のケンゾーエステートのワインがかなり低単価で楽しませます！<br>家からも近いのでリピ確定です！<br>ご馳走様でした。
28,家守堂,https://tabelog.com/kyoto/A2601/A260601/26032552/,3.0,～￥999,－,混んでる,開店4日目だったでしょうか、夕食時に訪れました。<br>テーブル席、カウンターは満席でした。<br>ホールの中程に置いた丸テーブル、立ち席に陣取ります。<br><br>メニューのトップにあるビール、デスティーノ400ml、650円を<br>注文。少し酸味があり、芳香があります。ま、美味しいです。<br><br>この混み具合が続くのか、それなら昼飲みとか、<br>使い方を考えないとと思います。
29,七津屋,https://tabelog.com/osaka/A2701/A270107/27007906/,3.0,～￥999,～￥999,,マグロ造り 330円<br>ポテトサラダ 160円<br>熱燗 200円×2<br>【合計】890円<br><br>やっぱり、熱燗は正一合や無かったらアカンな。<br>呑んだ!!、て感じが全然違う。<br><br>｢庶民｣に行ったことで、この店の良さを、再認識出来た。<br><br>鉄板焼が、15時00分～と違たら、もっとエエ店やねんけどな。
30,ヱビスヤ,https://tabelog.com/fukushima/A0702/A070201/7011436/,4.2,－,"￥1,000～￥1,999",魚介だしには目もくれず、ヱビスヤはやっぱり白河ラーメン。醤油が立った極上鶏だし。,郡山でどうしても行かないと落ち着かなかったヱビスヤ。過去２回振られているんですが、それもそのはず。いずれも連食の２軒目として訪問。意図を読まれたかのように売り切れ閉店でした。<br><br>やっぱりお店をリスペクトしなかった罰だと反省し、この日はシャッターでの訪問。誰もいない広い店内に入るのは気分がいいですね。大正ロマンがテーマの意匠だそうですが、食堂もここまでキャパがあると使いやすそうです。この席を全部埋めて行列ができるとのことでやっぱり旨いものを出せば人は集まって来るのよね。<br><br>このレビューを書くに当たって先行ブログをちょっと見ましたが。この店の麺にケチをつけているブログがあって、ま、人はさまざまだなあって。理由は麺が柔いからだってさ。外に向かって毒を吐いている人は結構どの店にもケチつけている傾向がありますね。お店も無視すればいいと思います。<br><br>半面、極上の白河ラーメンだって絶賛しているブログも結構あります。ジブンはこっち派。うまかったあ。<br><br>席に着いて品書きを拝見。３種類に分類されてます。<br><br>①鶏だし　白河ラーメン<br><br>②厳選味噌<br><br>③魚介だし<br>春木屋がこれでしたね。<br><br>もう①しかありません。<br><br>＊ワンタンチャーシューメン（１２５０円）<br><br>厨房の麺上げ作業は全く見えません。次に行く店の検討をしつつ時間をつぶします。しばし待って、ようやくの登場です。<br><br>いやはや、この麺相はジブンの好みのど真ん中はえぬき。たまりませんなあ。そしてこの醤油が制覇する鶏スープ。鼻を近づけると得も言われぬいい香りが鼻腔をくすぐります。<br><br>チー油がたっぷりと浮いたスープをれんげですくって先ずはスープの試飲。熱々でまろやかな味には納得です。動物出汁の厚みがあって過去食べてきた白河ラーメンの中でもジブンの中ではかなり上位です。先行ブログの中にヱビスヤの店主の修業先はいまの家分店であるとの記述を見つけましたが、確認はしてません。<br><br>麺は手打ち白河麺。茹で加減もあるでしょうが、しっかりとした感じでこれまた好みでした。チャーシューもちゃんと約束の３種類が入り、チャーシュー作りも手抜きなく９８０円では申し訳ないくらいの量が入ってます。めんま、ほうれん草、なると海苔と麺相もにぎやかで、これはいい白河ラーメンでした。<br><br>こういう旨い白河ラーメンの店ってだいたい昼の一瞬だけの営業なんですよね。だから色々食べるためには連食もやむなし、になっちゃって。秋には７０歳になるワタシにはそう毎日の連食はやっぱりこたえます。夜だけの白河ラーメン店、出でよ、ですわ。
31,じどり個室dining 鶏門 栄錦通り店,https://tabelog.com/aichi/A2301/A230103/23065481/,3.8,"￥2,000～￥2,999",－,★活気あふれる雰囲気の『個室dining 鶏門』で地鶏を味わう,昨夜は友人オススメのお店に伺いました。<br>以前食べたチーズタッカルビがとても美味しかったとのことで、kiraraもチーズタッカルビが好きですから♪<br><br>場所は、名古屋栄のど真ん中･･･　国際ホテルのすぐ近くです。<br>この辺りは、飲食店が多いので、夜は会社帰りの人達でとても賑わっています。<br>『個室dining 鶏門』はビルの６階にあり、金曜日のせいか、エレベーターの前には人がイッパイ！<br>そして、６階に降りると、団体客がたくさん来店され、お店は活気に満ち溢れていました♪<br><br>蒸し暑かったので、友人はパインサワー、kiraraは青りんごサワーでカンパイし、まず、喉を潤します(#^.^#)<br><br>★旬鮮魚のお造り ３点盛り合わせ<br>友人は生ものが得意ではありませんから、５点ではなく３点盛り合わせをオーダー。<br>サーモン、マグロ、カンパチ･･･　漁港直送とメニューに書かれていた通り、とても新鮮でした。<br><br>★手羽先の唐揚げ<br>なんだか最近、手羽先を食べる機会が多く、まるで食べ比べをしているようですが、こちらの手羽先は、しっとりフンワリではなく、表面カリッと香ばしく、身は弾力があります。<br>ちょっぴりスパイシーで、風味よくて美味でした (*^^)v<br><br>★チーズタッカルビ<br>さぁ、友人、オススメのチーズタッカルビが登場しました。<br>テーブルでグツグツ、アツアツがいただけます。<br>韓国料理のチーズタッカルビに比べると、辛さはマイルドで、とにかく地鶏がフワフワで美味しいヽ(^o^)丿<br><br>★鶏のネギ塩唐揚げ<br>こちらもオススメ料理とのことでオーダー。<br>比較的、さっぱりめの唐揚げで、カリッと揚げらていました。<br><br>★ちくわの磯部揚げ<br>最後に、もう一品、何か軽めのものが食べたくて、磯部揚げをお願いしました。<br>お値段が390円の驚き価格ですが、８個も盛られ、サクッとした食感で、お酒のお供にピッタリなメニューです。<br><br>今日も友人と美味しいお食事をしながら、イッパイお話をし大盛り上がり♪<br>店内には、団体客が多く、かなり賑やかでしたが、完全個室ですから、<br>それほど気にならず、ゆったりとお食事が楽しめました(^_-)-☆
32,ブロッサム,https://tabelog.com/osaka/A2701/A270101/27001903/,4.2,"￥1,000～￥1,999",－,今年頂いたNo.1のカクテルかも？,再訪<br><br>美味しいお料理を食しますと、美味しいカクテルを呑みたくなります...という事で、懐石屋さんから帰路の途中にあった此方へ1杯だけ、お口直しでお邪魔。<br><br>入店2150、先客3組5名様。<br>本日のフルーツから...目に留まった「パッションフルーツ」をお願いです。<br><br>ご登場したのは、<br>カッサーシャ（ブラジル産サトウキビのリキュール）+ミント+ライム+パッションフルーツ<br>のカクテル。<br><br>最後に自分で、パッションフルーツの果実をスプーンで掻き出し完成させます...？？？前回、日本チャンプにワガママ即興でお願いしたオリジナルカクテルでした...<br><br>カッサーシャの独特の風味に負けないパッションフルーツ。南国のリキュールには、南国のフルーツを合わせるのが鉄板。今年はコレ以上のカクテルには出逢えないかも？と思える逸品でした...<br><br>退店2215、残3組5名様で変わらず。
33,うんどん さくら屋,https://tabelog.com/saitama/A1105/A110501/11005537/,3.5,－,～￥999,思う存分、玉ねぎのかき揚げを食べられた「うんどんさくら屋」,熊谷と言っても駅からはだいぶ遠いです。<br>車でないと難しいお店ですが人気店であります。<br><br>この店の麺の特徴は、ちょっとねじれが入っています。<br>たぶん、このねじれが上手く汁を絡ませるのでしょう。<br>そして、埼玉のうどんとしては、わりと細めです。<br><br>埼玉のうどんはいろいろなタイプがあって、一概に「武蔵野うどん」「加須うどん」「熊谷うどん」などと分類できないのです。<br>こちらのさくら屋さんは、自ら「武蔵野うどん」と食べログトップページでも公言しています。<br>個人の見解ですが、「肉汁うどん」や「きのこ汁うどん」をメインで提供しているお店が、「武蔵野うどん」に名乗りを上げているようです。<br>ですから、加須のうどん屋さんで武蔵野うどんと自称している店は見たことがありません。<br><br>さて、メニューを見ると一番光り輝いているのは、「かき揚げうどん」780円ではないでしょうか。<br>なにしろ、かき揚げがデカい！<br>ひと目見て、これに決めます。<br><br>そして、あたりを見渡すと「食べログやってます」との不思議な表示があります。<br>よく見ると、「食べログでさくら屋のページを見ると天ぷらが無料になってしまう。」となっています。<br><br>すぐに店員さんを呼んで、食べログのさくら屋さんのページを見せて、玉ねぎの天ぷらをいただきます。<br><br>すると、登場した「かき揚げうどん+玉ねぎの天ぷら」は、呆れて笑っちゃうようなビジュアル。<br>デカいかき揚げの脇に、玉ねぎのかき揚げ。<br>どんだけ、玉ねぎ好きなんだろ。<br><br>まずはかき揚げをある程度食べてからうどんにいかないと相当バランスが悪くなることが予想されます。<br>なので、意志に反してかき揚げだけをガブリガブリとむさぼります。<br>胃袋に油の膜ができた頃に、うどんに移ります。<br><br>おっ、コシはあるけれど硬くはないので、普通のうどんのようにスルスルッと食べられますね。<br>自分はゴワゴワ硬めの田舎うどんが好きですが、それらのお店と比較するとこちらは上品と言えるでしょう。<br>想像通り、ねじれた麺が汁をよく絡めます。美味いです。<br>肉汁は、豚肉、ネギ、油揚げ。これぞ伝統的な武蔵野のうどんのお汁です。<br>これは再訪確実！ただ、天ぷらは抑えめにしないとね。
34,味安,https://tabelog.com/tokyo/A1324/A132404/13025725/,4.8,"￥1,000～￥1,999",～￥999,じゃがいも、ニンジンがゴロゴロのカツカレー！,急に家カレーが食べたくなって、車で40分掛けてやって来てしまいました。(駐車場完備)<br><br>【味安】さんの売りは焼き魚の各種定食と刺身定食。<br>他にも肉じゃがとか唐揚げなど豊富なメニュー！<br><br>でも今日は、こちらのカツカレーが食べたかった〜。<br>じゃがいもがゴロゴロ！<br>ニンジンもゴロゴロ！<br>一口大のお肉もゴロゴロ！<br>更にとんかつがこれらを覆い隠す。<br>(ただ肉は薄いのであまり期待してくるとがっかりします。)<br><br>今流行りの洒落たカレーではなく、昭和時代の家カレー！<br>そしてこれを定食屋さんが作るとこうなる！って感じ。<br>間違いなく美味しくて懐かしい。<br>そして、安くて量がある。<br>●カツカレー[味噌汁.惣菜付］が ¥870-(税込)なんです！<br><br>金曜日の18:00訪問。<br>既にカウンター席は満席で、テーブル席もどんどん埋まって行く。1人で来たので、ちょっと待ちましたがカウンター席へ。<br><br>かなりの客席数を持っているお店ですが、昼時、夕飯時は行列になり待ちます。(2階座敷席もあります)<br>厨房は7〜8人で調理しているようですが、いつも戦場と化してます。仕事終わったらグッタリしそうなレベル。<br><br>注文してから20分位待ちましたが、目の前の厨房を見ていれば納得出来る。厨房はベテランの方ばかりでテキパキしていて無駄な動きが無い。それでも大変。<br><br>待ちに待ったカツカレーが登場！<br>『待たせてゴメンね！』の優しい声かけに恐縮してしまう。<br><br>今日も美味しいカツカレーでした。<br>ご馳走さまでした。また来ます！<br>まだ、焼き魚定食とか刺身定食のレビューをアップしてませんので、次回は常連さんが注文している定食のレビューをします。
35,遠野食肉センター　レストラン,https://tabelog.com/iwate/A0302/A030203/3000932/,3.0,"￥1,000～￥1,999",－,上品すぎる,続石を見たくて遠野へ行き<br>以前、遠野はジンギスカンが名物だと知り<br>必ず食べたいと思い<br>食べログで調べたところ<br>こちらのお店が第一候補になりました。<br><br>店内は今風の焼肉屋という雰囲気で<br>料金的にもリーズナブルで<br>ドリンクバーなどもあり<br>家族で来るのにもいいと思います 。<br><br>店員さんの接客もとてもいい感じでした。<br><br>注文したのは上ラムのコース一人前と<br>ラムせせりとラムホルモン、ラムタン。<br>タレは、できたら二種類選べたらよかったのですが<br>選んだのは、おすすめの中辛で<br>ピリッとした感じで<br>お酒やご飯が進みそうな味付けでした。<br><br>元々、マトンのジンギスカンが好きで<br>時々食べていたのだけれど<br>生ラムだからなのか<br>ひつじの臭さがなく<br>普通のお肉を食べているように感じてしまい<br>物足りませんでした。<br><br>これはお店やお肉が悪いというよりは<br>自分の好みと違い上品すぎるのだと思います。<br><br>フリーwi-fiと謳っていて<br>店内にもパスワードが書かれているのですが<br>利用したところ<br>インターネットに繋がらなかったのは残念です。
36,クラージュ,https://tabelog.com/tokyo/A1307/A130702/13219536/,4.7,"￥15,000～￥19,999",－,麻布十番で出会った魅力的な隠れ家レストラン「クラージュ (Courage)」,麻布十番で　とーっても素敵なお店に出会いました♡<br><br>クラシック　フレンチをベースに<br>イタリアン　スパニッシュ、和のエッセンスをふんだんに取り入れた　フュージョン料理が楽しめる<br>クラージュ （Courage）<br><br>隠れ家的な場所にたたずむ<br>雰囲気のある外観がとっても魅力的。<br>スタイリッシュでモダンな店内。<br>アートや　ファッションを感じる　お洒落すぎる空間に　うっとり。<br><br>この日は　生憎のお天気でしたが<br>窓から見える景色は　雨の雫が　ライトに反射して　とてもきれいでした。<br><br>今回はCourage　course　（10000円）をオーダー。<br><br>＋1200０円で　アルコールペアリング<br><br>お酒が飲めない私も　なんと<br><br>＋7000円で　ティーペアリングが楽しめるの！<br><br><br>まずは　台湾　東方美人茶のスパークリングで乾杯♡<br><br>前菜(八寸)<br><br>季節の盛り合わせ<br><br>秋田のジュンサイを パッションフルーツにコブミカン フルーティでさっぱりとした ソースで。<br>つるんとしたのどごし。<br><br>塩漬けにした さわらの<br>上には あさつきのはなが添えられ<br>のりのチップス<br>ほどよい 塩気 そして<br>パリパリのりがアクセントになった一品♡<br><br>やわらかい アオリイカは<br>酸味の効いたハーブソースで頂きます。<br>とってもなめらかな舌触り。<br><br><br>北海道産毛ガニ<br>爽やかなデザインのガラスの<br>お皿に載った華やかな料理。<br><br>ジェノベーゼ アボガド ピューレ<br>がカニによく合うのね^_^<br>カニの甘さが引き立つ美味しさ。<br>かにみそチップはパリパリ濃厚。<br>ライムの球体もはいって<br>一緒にたべると プチプチ口の中で弾けて 爽やかな口あたり。<br><br>ここで ペアリングしていただいた お茶は 「蜜香」<br>甲殻類によくあうお茶だそうで 香ばしい 芳醇な香りです。<br><br><br>続いて<br>マナガツオ<br>マナガツオの下にはサフランソース。<br>緑、オレンジは パプリカ<br>赤はトマト 黒<br>はイカ墨<br>白はレモン<br><br>からすみを散らして<br>セージをフリットに<br>サフランと セージがまたよく合うの。<br>とっても色鮮やかな 目でも楽しめる ひと皿。<br><br><br>アワビとウニの パスタ<br>ひとくち食べたら すっかりこちらの料理の虜に<br>濃厚な アワビのきもバターソースが 鳴門ワカメが練りこまれたパスタは<br>パスタはやわらかすぎず ほどよいアルデンテ。<br><br>ホワイトアスパラ ピューレのほんのりとした甘さが アクセントになって 飽きない美味しさ。<br><br>旨みが凝縮された 北海道産 ウニ と やわらかいアワビを贅沢が 口の中で見事に調和して幸せ〜♡<br><br>いろんな ジャンルで修行してるシェフだからこそ<br>旨みもあって しつこくない絶妙な味のバランス。<br><br>苦味もあって濃厚で クセになる美味しさ！<br><br>みんなで 目を瞑りながら 味わって食べたぐらい 贅沢な一品でした。<br>ペアリングしていただいたのは<br><br>台湾 世界一の<br>大禹嶺(だいうりょう)<br>ぬるめで頂く 旨みの強いお茶でした。<br><br>このソースを余すことなく楽しめるように<br>チーズのふわふわ スポンジが用意されているのも<br>嬉しい。<br>お皿がまた素敵でしょ(^^)<br><br><br>そして お肉は<br>宮崎の 都萬牛<br><br>牧草のみを食べて育っているから ヘルシーな 赤みのお肉。サシが入って とっても綺麗<br>オーストラリア産の<br>ふわふわのトリュフのスライスがかかって<br>鼻からふわっと 抜けるように 香りがよくて<br>お肉が 口の中でとろけるの。<br>生の粒コショウは 香りがよくて アクセントに^_^<br><br>ペアリングのお茶は 週一回8時間焙煎の<br>渋めのお茶でした。<br><br><br>デザートは<br>キャラメリゼした松の実<br>ピスタチオクリームがのった 山形桜錦。<br>ミントの葉で すっきりとした味わいに。<br><br>もうひとつには みかんで作った蝶がのってましたよ。<br>見た目可愛いのに美味しい。 最高ですよね^_^<br><br><br>最後は<br>ルバーブの野菜の アイス<br>をコーヒーと共に頂きました。<br>ピスタチオ マンゴー のムース 中には<br>タピオカが入ってフルーティ ♡<br>バニラのあわ で香りづけした とてもお洒落なデザートでした。<br><br>どのお料理も 火入れや熟成に さらには<br>日本各地の生産者から届く 国産食材にこだわった<br>ものばかり。<br>どれも 間違いない美味しさに とても幸せな時間を過ごすことができました♡<br>レストランのオーナーがとってもダンディで 素敵な方でね。<br><br>料理が美味しいだけでなく<br>さりげなく　且つ 細やかな 気遣いで<br>心にグッと響くの。<br>料理をいただきながら 私達ゲストと　スタッフさんたちの 気持ちが　ひとつになるような感じかな。<br>こんな感覚は初めてで。<br>とても気持ちよく　お食事が楽しめる　魅力的なレストランに　出会えたこと。<br>紹介してくれた 友人に感謝です^_^<br>またぜひ 伺いたいと思います♡<br><br>大切な方とのお食事や 記念日に…<br>みなさんもいかがですか？
37,せいわ,https://tabelog.com/chiba/A1206/A120603/12033911/,3.1,－,"￥1,000～￥1,999",もう少し太いそばの方が好みです,館山道君津インターから鴨川方向に向かう途中にありました。<br>駐車場も広くて入りやすく、お店も綺麗でいい感じです。<br>小上りに案内され、メニューを見ると、色々なそばのほかにアナゴ天やアサリ天などもあります。<br>鴨ざるの大盛（1500円）を注文、そばは手打ちでコシは強く、香りもいいですね。大盛りで量もちょうどいいかな。<br>つけ汁には、鴨肉が４枚、つゆは意外とすっきりしていい味です。<br>そしてワサビがとっても旨い。<br>でももう少し太い麺の方が好みかな。
38,はま寿司 高浜稗田店,https://tabelog.com/aichi/A2305/A230503/23027454/,3.5,－,～￥999,鹿児島県甑島きびなご旨し | 空想俳人日記,半田のクラシティから岡崎の悠紀の里へ向かう途中、お昼を回転寿司したよ。<br>ペッパーくんのカウンター席をお願いしたよ。<br><br>ほいで、相変わらず、回る寿司には目もくれず、タッチパネルで注文。<br><br>声優の神谷明氏がご挨拶してくれたよ。<br><br>日本のうまいネタ極の第6弾、鹿児島県甑島きびなごから始めた。これ、うまし。<br><br>途中、三貫盛なんぞも注文。<br><br>青さみそ汁はケータイクーポンで無料。<br><br>食べたのは、タッチパネルの注文履歴の通りでござ～い。<br><br>平日90円だけど、三貫盛食べたから、500円超えたよ。<br>お値打ちに、ごちそうさまあ。<br><br>はま寿司高浜稗田店by(C)shisyun
39,肉塊 UNO,https://tabelog.com/tokyo/A1308/A130802/13192065/,3.4,"￥4,000～￥4,999",－,5種類の肉食べ放題コース,こちらのお店はメニューがコース1つしかなく、その中に5種類の肉の食べ放題が含まれています。<br>訪問時のデータ、メニュー写真はこちらの記事に記載しています。<br><br>食べ放題日記：「肉塊UNO 虎ノ門店」　牧草牛の7種類お肉のコース【肉おかわり自由】<br><br>★選択可能な品<br>-------肉以外---------<br>・モーリョ<br>-------肉---------<br>・牧草牛のイチボ<br>・ローストチキン<br>・リングイッサソーセージ<br>・豚バラ<br>・牧草牛のランプ<br><br>予約をして18:30くらいに訪問しましたが、店内はほぼ満席の状態でした。<br>予約時にカウンター席、と告げられていた通り、カウンター席へ案内され、説明を受けました。<br>先に書いた通り、コースは固定で、ドリンクは通常料金を支払って利用することになります。<br>説明の時には言われなかったのですが、肉5種の他、「モーリョ」というピクルスのような漬物も食べ終えた際にお替りの伺いがありますので、これもお替り可能だったようです。<br>調味料は塩、胡椒、わさび醤油だけとなっています。<br>リストの品は基本的には上から順に出てくるのですが、焼き上がり時間の関係で前後することもあり、間が開く時は1～5の品のお替りの伺いもありました。<br>味に関しては、牧草牛を使ったものは全て赤身肉をベースにしているので、脂身は非常に少なく、食感は硬めになっていました。<br>あっさりした調味料のおかげで、肉本来の旨味を楽しむことができました。<br>ローストチキンは逆に軟らかめな食感でした。<br>リングイッサソーセージは、表面のプリっとした食感と中の軟らかい食感の両方が楽しめ、肉全体にハーブの風味が付いていたので、脂分が多いわりにはあっさりした印象でした。<br>豚バラは非常にたっぷりの脂身があるので、ジューシーなお肉が好きな方は、これを中心にお替りすることになりそうです。<br>非食べ放題品の、本日の日替わりお肉2種は、サガリとハンバーグでした。<br>サガリはイチボよりも少し軟らかめでした。<br>ハンバーグはちょっと焼き過ぎかな、くらいな焼き具合で、若干表面の焦げの味が目立ってはいましたが、中に肉の旨味が閉じ込められ、ジューシーな味わいでした。<br>ポンデケージョは焼きたてを提供してもらえるので、熱々で、チーズの味も強めに感じられました。<br>最後の焼きパイナップルは、味付けなどもせずに本当にそのままなので、自然な甘味と酸味で口直しになりました。<br>食べ放題としては肉の質は高めだと思いますが、やはり調味料の組み合わせに限界があるので、飽きが来なかった、と言えば嘘になります。<br>その点では、食べ放題としての魅力はやや下がっているように思えましたが、お替りの伺いも頻繁に行ってくださったり、汚れたお皿はすぐ交換してくださったりと、サービス面は優秀なことや、ヘルシーな牧草牛が食べ放題、という点を考慮すれば、値段に見合う価値は見出せそうでした。
40,あんべ,https://tabelog.com/iwate/A0302/A030203/3000572/,3.5,"￥1,000～￥1,999",－,マトンでも臭くなく食べやすい,食べログでも一番人気の<br>食肉センターに行ってきましたが<br>ラムが上品すぎて羊を食べている感じがなかったので<br>遠野の元祖、ジンギスカンというこちらへ伺いました。<br><br>店の正面が精肉店なので<br>どこから入ればいいのかわかりませんでしたが<br>お店の人に尋ねると<br>脇から入ってくださいとのことで<br>閉店間際でしたが間に合いました。<br><br>店の雰囲気は<br>先ほどの焼肉店ぽい店内と違い<br>昔の個人経営のホルモン屋さんのような感じ。<br>個人的には好きな雰囲気です。<br><br>店員さんの対応は<br>先ほどとは違う<br>とてもフレンドリーな接客で<br>これも個人商店ぽくて<br>個人的にはとてもよかったです。<br><br>こちらのお店に伺った経緯を話しその上でお勧めを聞くと<br>ラムの肩ロース、もしくはマトンのモモがお勧めとのこと。<br>その上で、上記2点とマトンのカタを注文。<br>タレは1種類しかないようですが<br>店員さんが言うには<br>タレが一番のお勧めと言っていました。<br><br>おすすめ通り<br>ラムの肩ロースは美味しかったのですが<br>個人的には<br>やはり羊の臭さが少しある<br>マトンのモモとカタがとても美味しかったです。<br>また、一緒についてきた脂ですが<br>整形ではないので最後まで油を利用し<br>カリカリになったところを頂いてしまいました。<br><br>タレは少し甘い感じで<br>途中からニンニクを多めに追加し<br>辛味を加えると<br>より美味しかったので<br>ライスを1人前注文し<br>残ったタレをぶっかけて<br>タレご飯にして食べきってしまいました。
41,中華そば屋 伊藤,https://tabelog.com/tokyo/A1323/A132304/13008779/,4.5,－,～￥999,行って来ました 百名店,金曜日12時到着 絶対に行列必須と思いきや 外には誰も並んでなく のれんも出ていないので 一瞬通りすぎそうになった 先客4人カウンターで食事中 メニューは二種類しかないため 入って着席する前に注文 セルフの水を飲みつつ約5分で着丼 やはり見ていた通り シンプル 『そば 』は麺とネギのみ 『肉そば』は それにチャーシューが乗った これもシンプルイズベスト れんげも席に置いてあるが れんげを使うほどの量のスープはない ダイレクトに頂こう！ 湯気を匂ったら もう すでに煮干しワールド スープを一口 口の中に広がる煮干しの香り 待ってました この味です 百名店 麺はストレートの少し硬麺 スープも絡み 麺は固いのだか嫌な固さではなく噛んでるうちに煮干しの香りが口いっぱいに広がる感じ チャーシューは小ぶりで4等分にカットされており 口の中に入れたとたんトロけるタイプ 麺 スープ チャーシューが一体化された感じ 大盛りもオススメだか 私は普通で十分だ 久々に旨い一杯を頂きました<br>一つ注意が お会計の時 一万円札出したら 身振り手振りで お釣りがないのか計算出来ないのか断られた！行くときは小銭か千円札の用意を忘れずに！
42,越後屋若狭,https://tabelog.com/tokyo/A1312/A131201/13046248/,4.0,－,"￥3,000～￥3,999",本当に水のよう。,お店の中は撮影禁止です。<br>店内は小さな部屋のようになっていて真ん中に小さなショーケースがポツンとあります。しばらくするとお店の方が奥からいらっしゃって予約した水羊羹を持ってきてくれました。<br>ショーケースの所でお会計。食べ方なども丁寧教えてくれます。<br><br>頂いたのは<br>⚪︎水羊羹 3208円<br><br>2時間は冷蔵庫に入れて下さいとお店の方に言われたのでその通りに。<br>箱にそのまま水羊羹を流し込んでいるので食べる分だけお皿にすくって頂きました。<br>プルプルな水羊羹を口の中に入れると滑らか過ぎて舌の上でスーっと溶けてなくなってしまいます。甘さ控え目で上品な餡の味が口の中にふわっと残りその余韻もまたたまりません。瑞々しさにも程があるほど繊細な水羊羹は初めての食感。涼しげで喉も潤い品のある甘さは暑い季節にぴったり。<br>なかなかの金額ですがこの水羊羹ならしょうがないと思える一品。
43,大阪屋 上越新光町店,https://tabelog.com/niigata/A1503/A150301/15010282/,3.7,～￥999,－,久しぶりにシュークリーム買いに来ました　【ドア】Ю-(∇⌒〃)o おじゃましま〜す♪,2019.06.20<br><br>1858年(安政5年)創業の老舗のお店です<br>県内に多数お店があります<br>上越市にも多数ありましたが、今は３店舗です<br>イオン上越店、安江店と此方のお店です<br><br>ちょっとお店の名前について調べました、大阪に修行した方が、新潟でお店を<br>開いたと、なので大阪屋と名前を付けたと言うことです<br><br>昔は、万代太鼓のおみやげをもらって食べて、おいしかったな～と<br>小さい頃の思い出が蘇りますね<br>それと、シュークリームは大阪屋にしかないと、思っていた頃もありました<br><br><br>購入品<br>コーヒー牛乳シュークリーム　108円×２<br>シュークリーム　128円×２<br>バームクーヘン　189円×２<br><br>夕飯を食べたあとに、デザートとして、いただきました（＾◇＾）<br><br>コーヒー牛乳シュークリームは、コーヒーの苦みというか香りが<br>特徴ですね、ペロリと食べちゃいました、もっとコーヒーの<br>色が濃いのかと思いました<br><br>次の日の朝食の後に、シュークリームとバームクーヘンを<br>いただきました<br><br>シュークリーム、このカスタードクリーム、美味しいんだよね<br>他とはちょぅと違うのかな、黒糖が少し入っているのかな<br><br>バームクーヘン、しっとりとして、１枚づつ剥いで食べたくなります<br>らっきょみたいに( ´艸｀)、美味しいです<br><br><br>またまた、母親に半分プレゼント(^^)<br><br><br>ご馳走さま、うまかったです　( ^ω^ )ﾆｺﾆｺ
44,四川伝統火鍋 蜀漢,https://tabelog.com/aichi/A2301/A230103/23067139/,3.0,"￥3,000～￥3,999",－,から〜い鍋を食べに。,友達に紹介されて来店。テレビに出ていたせいか店内は混雑。結構待ちの末に来店。<br>自分で好きなものをセルフで取りに行って最後に清算するシステム。<br>好きなものが売り切れていてショック。辛いのそこまで得意でないので少しきつかったかな。<br><br>味・・・普通<br>見た目・・・普通<br>値段・・・普通<br>雰囲気・・・普通<br>店内・・・満席<br>接客・・・普通<br>満足度・・・んー。<br>量・・・普通<br>オススメ度・・・普通<br>また来るか・・・いかないかな。<br>喫煙・・・<br>トイレ・・・有<br>駐車場・・・なし<br><br>＊個人的な主観で書いてますので気になる方は参考にしてみてください。
